REPORT 90 E-4,,,,,,,,,,
Population Estimates for California State and Counties,,,,,,,,,,
"January 1, 1981 to January 1, 1990",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
COUNTY,1-1-81  ,1-1-82  ,1-1-83  ,1-1-84  ,1-1-85  ,1-1-86  ,1-1-87  ,1-1-88  ,1-1-89  ,1-1-90  
  Huron," 2,830 "," 2,920 "," 3,480 "," 3,730 "," 4,010 "," 4,070 "," 4,130 "," 4,190 "," 4,330 "," 4,600 "
  Kerman," 3,980 "," 4,020 "," 4,060 "," 4,200 "," 4,340 "," 4,510 "," 4,650 "," 4,820 "," 5,225 "," 5,375 "
  Kingsburg," 5,250 "," 5,375 "," 5,625 "," 5,750 "," 5,775 "," 5,775 "," 5,925 "," 6,375 "," 6,775 "," 7,125 "
  Mendota," 5,175 "," 5,550 "," 6,275 "," 6,650 "," 6,700 "," 6,850 "," 6,750 "," 6,750 "," 6,825 "," 6,875 "
  Orange Cove," 4,100 "," 4,340 "," 4,470 "," 4,650 "," 5,050 "," 5,075 "," 5,175 "," 5,200 "," 5,375 "," 5,550 "
  Parlier," 2,860 "," 2,900 "," 5,800 "," 5,850 "," 5,825 "," 5,875 "," 6,600 "," 7,475 "," 7,725 "," 7,900 "
  Reedley," 11,400 "," 11,650 "," 11,850 "," 12,900 "," 13,400 "," 13,600 "," 13,850 "," 14,350 "," 15,150 "," 15,650 "
  Sanger," 13,000 "," 13,250 "," 13,400 "," 13,800 "," 14,050 "," 14,500 "," 15,300 "," 15,650 "," 16,150 "," 16,650 "
  San Joaquin," 2,010 "," 2,040 "," 2,060 "," 2,130 "," 2,140 "," 2,140 "," 2,170 "," 2,190 "," 2,250 "," 2,310 "
  Selma," 11,000 "," 11,500 "," 12,050 "," 12,350 "," 12,800 "," 12,750 "," 13,400 "," 13,900 "," 14,250 "," 14,650 "
  Incorporated," 340,900 "," 358,800 "," 377,400 "," 397,600 "," 414,200 "," 427,700 "," 445,700 "," 463,000 "," 481,500 "," 502,400 "
  Unincorporated," 182,300 "," 176,700 "," 171,500 "," 166,100 "," 163,200 "," 160,600 "," 155,600 "," 155,400 "," 156,900 "," 159,000 "
,,,,,,,,,,
GLENN," 21,750 "," 22,100 "," 22,450 "," 22,650 "," 22,750 "," 22,950 "," 23,000 "," 23,250 "," 23,850 "," 24,550 "
  Orland," 4,130 "," 4,330 "," 4,420 "," 4,540 "," 4,580 "," 4,630 "," 4,670 "," 4,790 "," 4,890 "," 5,050 "
  Willows," 5,000 "," 4,990 "," 5,075 "," 5,225 "," 5,250 "," 5,475 "," 5,500 "," 5,625 "," 5,725 "," 5,900 "
  Incorporated," 9,125 "," 9,325 "," 9,500 "," 9,775 "," 9,825 "," 10,100 "," 10,200 "," 10,400 "," 10,650 "," 10,950 "
  Unincorporated," 12,650 "," 12,800 "," 12,950 "," 12,900 "," 12,900 "," 12,850 "," 12,800 "," 12,850 "," 13,250 "," 13,600 "
,,,,,,,,,,
HUMBOLDT," 109,700 "," 110,200 "," 109,700 "," 109,900 "," 110,500 "," 111,200 "," 112,200 "," 113,800 "," 115,800 "," 118,400 "
  Arcata," 13,600 "," 13,700 "," 13,400 "," 13,650 "," 13,750 "," 13,850 "," 13,950 "," 14,300 "," 14,700 "," 15,100 "
  Blue Lake," 1,210 "," 1,210 "," 1,170 "," 1,190 "," 1,200 "," 1,230 "," 1,230 "," 1,230 "," 1,220 "," 1,240 "
  Eureka," 24,350 "," 24,700 "," 24,700 "," 25,050 "," 25,200 "," 25,350 "," 25,650 "," 26,100 "," 26,650 "," 26,900 "
